date,predicted_apix,lower_ci,upper_ci
2026-09-25,129.8073325783949,118.9290820227704,140.6855831340194
2026-09-26,129.97768381195962,110.02877970874927,149.92658791516996
2026-09-27,130.17710185744897,101.84409002870751,158.51011368619044
2026-09-28,130.13249738134,94.20257734320455,166.06241741947542
2026-09-29,130.18781334895735,87.39485792444154,172.98076877347316
2026-09-30,130.10592289601976,81.08549532325677,179.12635046878276
2026-10-01,130.23147582845374,75.51888772551919,184.94406393138829
2026-10-02,135.48161137759377,77.35730120076508,193.60592155442245
2026-10-03,130.4333160342927,69.84105596977484,191.02557609881052
2026-10-04,130.65764430242498,68.07421995843038,193.2410686464196
2026-10-05,130.62945041060073,66.31658679177258,194.94231402942887
2026-10-06,130.73126430750608,64.84306698087394,196.61946163413822
2026-10-07,130.55325164391795,63.18682245332484,197.91968083451104
2026-10-08,130.5368210329127,61.75783455570847,199.31580751011694
2026-10-09,130.3525815853335,59.701268597956926,201.00389457271007
2026-10-10,130.5499926254483,57.79168169703948,203.30830355385714
2026-10-11,130.76417113429014,55.789419445155374,205.7389228234249
2026-10-12,130.7291856993699,53.50344995369474,207.95492144504507
2026-10-13,130.80997898314945,51.340626199350424,210.27933176694847
2026-10-14,130.67663639204184,48.993165544312674,212.36010723977103
2026-10-15,130.72594961752694,46.86872004432003,214.58317919073386
2026-10-16,130.62022737525683,44.84579535235389,216.39465939815977
2026-10-17,130.826418528704,43.2783959125732,218.3744411448348
2026-10-18,131.04531617248023,41.815693788162946,220.2749385567975
2026-10-19,136.27808544180542,45.43000680033579,227.12616408327506
2026-10-20,136.36859941832236,43.94862645412931,228.7885723825154
2026-10-21,136.21462767278322,42.25953936904672,230.16971597651974
2026-10-22,136.2335742993551,40.77424665513375,231.69290194357643
2026-10-23,130.82698374835266,33.788785721191985,227.86518177551335
2026-10-24,131.02912014434241,32.38448182198941,229.6737584666954
