base_year,month_code,series,year,month,state,sector,division,group,class,sub_class,item,code,weight,index,inflation,imputation,value
2024,8,Current,2026,August,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,148.16,28.74,N,148.16
2024,7,Current,2026,July,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,134.43,30.18,N,134.43
2024,6,Current,2026,June,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,134.56,7.54,N,134.56
2024,5,Current,2026,May,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,135.29,18.04,N,135.29
2024,4,Current,2026,April,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,132.86,13.29,N,132.86
2024,3,Current,2026,March,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,135.84,20.98,N,135.84
2024,2,Current,2026,February,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,130.76,-4.41,N,130.76
2024,1,Current,2026,January,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,134.80,11.61,N,134.8
2024,12,Current,2025,December,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,134.18,,N,134.18
2024,11,Current,2025,November,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,136.83,,N,136.83
2024,10,Current,2025,October,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,104.47,,N,104.47
2024,9,Current,2025,September,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,109.43,,N,109.43
2024,8,Current,2025,August,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,115.09,,N,115.09
2024,7,Current,2025,July,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,103.27,,N,103.27
2024,6,Current,2025,June,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,125.13,,N,125.13
2024,5,Current,2025,May,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,114.62,,N,114.62
2024,4,Current,2025,April,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,117.27,,N,117.27
2024,3,Current,2025,March,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,112.28,,N,112.28
2024,2,Current,2025,February,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,136.79,,N,136.79
2024,1,Current,2025,January,All India,Rural,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,0.01166625043306,120.78,,N,120.78
